,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[11.5 -5. ],5.0,[11.5 -5. ]
5,[15.1 -8. ],8.0,[15.1 -8. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
9,[15.1 -8. ],8.0,[15.1 -8. ]
10,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
13,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[15.1 -8. ],8.0,[15.1 -8. ]
16,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
19,[16.1 -9. ],9.0,[16.1 -9. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
24,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
25,[14. -7.],7.0,[14. -7.]
26,[15.1 -8. ],8.0,[15.1 -8. ]
27,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
28,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
29,[11.5 -5. ],5.0,[11.5 -5. ]
30,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
31,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
