,desired_return,horizon,eval_return
0,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[14. -7.],7.0,[14. -7.]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
6,[11.5 -5. ],5.0,[11.5 -5. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[14. -7.],7.0,[14. -7.]
9,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
13,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
14,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
19,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
24,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
25,[14. -7.],7.0,[14. -7.]
26,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
27,[15.1 -8. ],8.0,[15.1 -8. ]
28,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
29,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
30,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
31,[11.5 -5. ],5.0,[11.5 -5. ]
