,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[11.5 -5. ],5.0,[11.5 -5. ]
4,[11.5 -5. ],5.0,[11.5 -5. ]
5,[11.5 -5. ],5.0,[11.5 -5. ]
6,[11.5 -5. ],5.0,[11.5 -5. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
23,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
24,[ 22.4 -52. ],52.0,[ 22.4 -54. ]
25,[14. -7.],7.0,[14. -7.]
26,[15.1 -8. ],8.0,[15.1 -8. ]
27,[ 16.1 -12. ],12.0,[ 16.1 -12. ]
28,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
29,[11.5 -5. ],5.0,[11.5 -5. ]
30,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
31,[ 20.3 -49. ],49.0,[ 16.1 -48. ]
