,desired_return,horizon,eval_return
0,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
1,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
6,[11.5 -5. ],5.0,[11.5 -5. ]
7,[ 22.4 -17. ],17.0,[ 20.3 -14. ]
8,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
9,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
10,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
11,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
12,[15.1 -8. ],8.0,[15.1 -8. ]
13,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
16,[16.1 -9. ],9.0,[16.1 -9. ]
17,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
18,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
19,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[16.1 -9. ],9.0,[16.1 -9. ]
22,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
23,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
24,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
25,[11.5 -5. ],5.0,[11.5 -5. ]
26,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
27,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
28,[14. -7.],7.0,[14. -7.]
29,[16.1 -9. ],9.0,[16.1 -9. ]
30,[15.1 -8. ],8.0,[15.1 -8. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
