,desired_return,horizon,eval_return
0,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[11.5 -5. ],5.0,[11.5 -5. ]
6,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
7,[11.5 -5. ],5.0,[11.5 -5. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
10,[14. -7.],7.0,[14. -7.]
11,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
12,[11.5 -5. ],5.0,[11.5 -5. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[16.1 -9. ],9.0,[16.1 -9. ]
17,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
18,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
19,[11.5 -5. ],5.0,[11.5 -5. ]
20,[14. -7.],7.0,[14. -7.]
21,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
22,[11.5 -5. ],5.0,[11.5 -5. ]
23,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
24,[14. -7.],7.0,[14. -7.]
25,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
26,[16.1 -9. ],9.0,[16.1 -9. ]
27,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
28,[15.1 -8. ],8.0,[15.1 -8. ]
29,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
30,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
