,desired_return,horizon,eval_return
0,[16.1 -9. ],9.0,[16.1 -9. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
3,[14. -7.],7.0,[14. -7.]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[14. -7.],7.0,[14. -7.]
6,[15.1 -8. ],8.0,[15.1 -8. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[14. -7.],7.0,[14. -7.]
9,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
10,[14. -7.],7.0,[14. -7.]
11,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
17,[14. -7.],7.0,[14. -7.]
18,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
19,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[16.1 -9. ],9.0,[16.1 -9. ]
22,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
23,[16.1 -9. ],9.0,[16.1 -9. ]
24,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
25,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
26,[11.5 -5. ],5.0,[11.5 -5. ]
27,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
28,[15.1 -8. ],8.0,[15.1 -8. ]
29,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
30,[14. -7.],7.0,[14. -7.]
31,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
