,desired_return,horizon,eval_return
0,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
1,[14. -7.],7.0,[14. -7.]
2,[14. -7.],7.0,[14. -7.]
3,[11.5 -5. ],5.0,[11.5 -5. ]
4,[14. -7.],7.0,[14. -7.]
5,[11.5 -5. ],5.0,[11.5 -5. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[11.5 -5. ],5.0,[11.5 -5. ]
8,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
9,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
15,[11.5 -5. ],5.0,[11.5 -5. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
18,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[16.1 -9. ],9.0,[16.1 -9. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
23,[14. -7.],7.0,[14. -7.]
24,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
25,[11.5 -5. ],5.0,[11.5 -5. ]
26,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
27,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
28,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
29,[15.1 -8. ],8.0,[15.1 -8. ]
30,[16.1 -9. ],9.0,[16.1 -9. ]
31,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
