,desired_return,horizon,eval_return
0,[11.5 -5. ],5.0,[11.5 -5. ]
1,[11.5 -5. ],5.0,[11.5 -5. ]
2,[11.5 -5. ],5.0,[11.5 -5. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[11.5 -5. ],5.0,[11.5 -5. ]
15,[11.5 -5. ],5.0,[11.5 -5. ]
16,[11.5 -5. ],5.0,[11.5 -5. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[ 20.3 -20. ],20.0,[ 0.7 -4. ]
23,[14. -7.],7.0,[14. -7.]
24,[ 22.4 -48. ],48.0,[  0.7 -28. ]
25,[ 16.1 -12. ],12.0,[ 16.1 -12. ]
26,[ 19.6 -19. ],19.0,[ 16.1 -16. ]
27,[15.1 -8. ],8.0,[15.1 -8. ]
28,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
29,[11.5 -5. ],5.0,[11.5 -5. ]
30,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
31,[ 23.7 -49. ],49.0,[ 16.1 -44. ]
