,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
23,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
24,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
25,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
26,[ 20.3 -49. ],49.0,[ 16.1 -47. ]
27,[11.5 -5. ],5.0,[ 8.2 -5. ]
28,[ 16.1 -23. ],23.0,[ 19.6 -29. ]
29,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
30,[ 8.2 -3. ],3.0,[ 0.7 -2. ]
31,[15.1 -8. ],8.0,[11.5 -8. ]
