,desired_return,horizon,eval_return
0,[11.5 -5. ],5.0,[11.5 -5. ]
1,[16.1 -9. ],9.0,[16.1 -9. ]
2,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
3,[14. -7.],7.0,[14. -7.]
4,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
5,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[14. -7.],7.0,[14. -7.]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[11.5 -5. ],5.0,[11.5 -5. ]
10,[14. -7.],7.0,[14. -7.]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
13,[11.5 -5. ],5.0,[11.5 -5. ]
14,[15.1 -8. ],8.0,[15.1 -8. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
17,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
18,[16.1 -9. ],9.0,[16.1 -9. ]
19,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[11.5 -5. ],5.0,[11.5 -5. ]
22,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
23,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
24,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
25,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
26,[14. -7.],7.0,[14. -7.]
27,[15.1 -8. ],8.0,[15.1 -8. ]
28,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
29,[11.5 -5. ],5.0,[11.5 -5. ]
30,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
31,[16.1 -9. ],9.0,[16.1 -9. ]
