,desired_return,horizon,eval_return
0,[15.1 -8. ],8.0,[15.1 -8. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
4,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[11.5 -5. ],5.0,[11.5 -5. ]
10,[11.5 -5. ],5.0,[11.5 -5. ]
11,[11.5 -5. ],5.0,[11.5 -5. ]
12,[11.5 -5. ],5.0,[11.5 -5. ]
13,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
14,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
15,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
18,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
19,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[16.1 -9. ],9.0,[16.1 -9. ]
22,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
23,[16.1 -9. ],9.0,[16.1 -9. ]
24,[11.5 -5. ],5.0,[11.5 -5. ]
25,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
26,[14. -7.],7.0,[14. -7.]
27,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
28,[15.1 -8. ],8.0,[15.1 -8. ]
29,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
30,[ 20.3 -14. ],14.0,[16.1 -9. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
