,desired_return,horizon,eval_return
0,[11.5 -5. ],5.0,[11.5 -5. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[11.5 -5. ],5.0,[11.5 -5. ]
5,[15.1 -8. ],8.0,[15.1 -8. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
9,[15.1 -8. ],8.0,[15.1 -8. ]
10,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
11,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
12,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
13,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
14,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[16.1 -9. ],9.0,[16.1 -9. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
24,[11.5 -5. ],5.0,[11.5 -5. ]
25,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
26,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
27,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
28,[15.1 -8. ],8.0,[15.1 -8. ]
29,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
30,[14. -7.],7.0,[14. -7.]
31,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
