,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
3,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[14. -7.],7.0,[14. -7.]
6,[15.1 -8. ],8.0,[15.1 -8. ]
7,[14. -7.],7.0,[14. -7.]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[14. -7.],7.0,[14. -7.]
10,[11.5 -5. ],5.0,[11.5 -5. ]
11,[11.5 -5. ],5.0,[11.5 -5. ]
12,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
17,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
18,[16.1 -9. ],9.0,[16.1 -9. ]
19,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
24,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
25,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
26,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
27,[11.5 -5. ],5.0,[11.5 -5. ]
28,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
29,[15.1 -8. ],8.0,[15.1 -8. ]
30,[14. -7.],7.0,[14. -7.]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
