,desired_return,horizon,eval_return
0,[16.1 -9. ],9.0,[16.1 -9. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
3,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[14. -7.],7.0,[14. -7.]
6,[15.1 -8. ],8.0,[15.1 -8. ]
7,[14. -7.],7.0,[14. -7.]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[14. -7.],7.0,[14. -7.]
10,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
11,[11.5 -5. ],5.0,[11.5 -5. ]
12,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[16.1 -9. ],9.0,[16.1 -9. ]
17,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
18,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
23,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
24,[14. -7.],7.0,[14. -7.]
25,[11.5 -5. ],5.0,[11.5 -5. ]
26,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
27,[16.1 -9. ],9.0,[16.1 -9. ]
28,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
29,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
30,[15.1 -8. ],8.0,[15.1 -8. ]
31,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
