,desired_return,horizon,eval_return
0,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
4,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
5,[14. -7.],7.0,[14. -7.]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
10,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
11,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
12,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
17,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
18,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
19,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
22,[15.1 -8. ],8.0,[15.1 -8. ]
23,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
24,[11.5 -5. ],5.0,[11.5 -5. ]
25,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
26,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
27,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
28,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
29,[16.1 -9. ],9.0,[16.1 -9. ]
30,[14. -7.],7.0,[14. -7.]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
