,desired_return,horizon,eval_return
0,[14. -7.],7.0,[14. -7.]
1,[14. -7.],7.0,[14. -7.]
2,[14. -7.],7.0,[14. -7.]
3,[14. -7.],7.0,[14. -7.]
4,[11.5 -5. ],5.0,[11.5 -5. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[11.5 -5. ],5.0,[11.5 -5. ]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
10,[11.5 -5. ],5.0,[11.5 -5. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
14,[11.5 -5. ],5.0,[11.5 -5. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
17,[16.1 -9. ],9.0,[16.1 -9. ]
18,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
19,[11.5 -5. ],5.0,[11.5 -5. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
22,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
23,[15.1 -8. ],8.0,[15.1 -8. ]
24,[16.1 -9. ],9.0,[16.1 -9. ]
25,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
26,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
27,[11.5 -5. ],5.0,[11.5 -5. ]
28,[14. -7.],7.0,[14. -7.]
29,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
30,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
