,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[11.5 -5. ],5.0,[11.5 -5. ]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[11.5 -5. ],5.0,[11.5 -5. ]
10,[11.5 -5. ],5.0,[11.5 -5. ]
11,[11.5 -5. ],5.0,[11.5 -5. ]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[11.5 -5. ],5.0,[11.5 -5. ]
14,[11.5 -5. ],5.0,[11.5 -5. ]
15,[11.5 -5. ],5.0,[11.5 -5. ]
16,[11.5 -5. ],5.0,[11.5 -5. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
23,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
24,[ 20.3 -31. ],31.0,[ 19.6 -31. ]
25,[15.1 -8. ],8.0,[15.1 -8. ]
26,[11.5 -5. ],5.0,[11.5 -5. ]
27,[14. -7.],7.0,[14. -7.]
28,[ 16.1 -12. ],12.0,[ 14. -12.]
29,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
30,[ 23.7 -49. ],49.0,[ 16.1 -41. ]
31,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
