,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
9,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
10,[11.5 -5. ],5.0,[11.5 -5. ]
11,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
12,[11.5 -5. ],5.0,[11.5 -5. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
18,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
19,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
24,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
25,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
26,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
27,[11.5 -5. ],5.0,[11.5 -5. ]
28,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
29,[14. -7.],7.0,[14. -7.]
30,[15.1 -8. ],8.0,[15.1 -8. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
