,desired_return,horizon,eval_return
0,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
1,[16.1 -9. ],9.0,[16.1 -9. ]
2,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 19.6 -13. ],13.0,[16.1 -9. ]
5,[16.1 -9. ],9.0,[16.1 -9. ]
6,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
9,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
10,[14. -7.],7.0,[14. -7.]
11,[11.5 -5. ],5.0,[11.5 -5. ]
12,[14. -7.],7.0,[14. -7.]
13,[14. -7.],7.0,[14. -7.]
14,[11.5 -5. ],5.0,[11.5 -5. ]
15,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
16,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
17,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
18,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
19,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
20,[16.1 -9. ],9.0,[16.1 -9. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[15.1 -8. ],8.0,[15.1 -8. ]
23,[16.1 -9. ],9.0,[16.1 -9. ]
24,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
25,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
26,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
27,[11.5 -5. ],5.0,[11.5 -5. ]
28,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
29,[14. -7.],7.0,[14. -7.]
30,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
