,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
13,[14. -7.],7.0,[14. -7.]
14,[15.1 -8. ],8.0,[15.1 -8. ]
15,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[ 19.6 -13. ],13.0,[ 20.3 -14. ]
24,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
25,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
26,[14. -7.],7.0,[14. -7.]
27,[15.1 -8. ],8.0,[15.1 -8. ]
28,[11.5 -5. ],5.0,[11.5 -5. ]
29,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
30,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
