,desired_return,horizon,eval_return
0,[15.1 -8. ],8.0,[15.1 -8. ]
1,[15.1 -8. ],8.0,[15.1 -8. ]
2,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
3,[11.5 -5. ],5.0,[11.5 -5. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 22.4 -17. ],17.0,[ 20.3 -14. ]
6,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
7,[15.1 -8. ],8.0,[15.1 -8. ]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
10,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
11,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
12,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
13,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
14,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
15,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
16,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
17,[11.5 -5. ],5.0,[11.5 -5. ]
18,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
19,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
20,[16.1 -9. ],9.0,[16.1 -9. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
23,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
24,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
25,[15.1 -8. ],8.0,[15.1 -8. ]
26,[11.5 -5. ],5.0,[11.5 -5. ]
27,[16.1 -9. ],9.0,[16.1 -9. ]
28,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
29,[14. -7.],7.0,[14. -7.]
30,[ 22.4 -17. ],17.0,[ 20.3 -14. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
