,desired_return,horizon,eval_return
0,[ 22.4 -17. ],17.0,[ 20.3 -14. ]
1,[14. -7.],7.0,[14. -7.]
2,[11.5 -5. ],5.0,[11.5 -5. ]
3,[14. -7.],7.0,[14. -7.]
4,[11.5 -5. ],5.0,[11.5 -5. ]
5,[11.5 -5. ],5.0,[11.5 -5. ]
6,[14. -7.],7.0,[14. -7.]
7,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
8,[11.5 -5. ],5.0,[11.5 -5. ]
9,[11.5 -5. ],5.0,[11.5 -5. ]
10,[11.5 -5. ],5.0,[11.5 -5. ]
11,[14. -7.],7.0,[14. -7.]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[11.5 -5. ],5.0,[11.5 -5. ]
15,[15.1 -8. ],8.0,[15.1 -8. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
18,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
19,[16.1 -9. ],9.0,[16.1 -9. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[15.1 -8. ],8.0,[15.1 -8. ]
24,[14. -7.],7.0,[14. -7.]
25,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
26,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
27,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
28,[11.5 -5. ],5.0,[11.5 -5. ]
29,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
30,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
31,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
