,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[14. -7.],7.0,[14. -7.]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
4,[ 22.4 -17. ],17.0,[ 20.3 -14. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[14. -7.],7.0,[14. -7.]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
12,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
13,[15.1 -8. ],8.0,[15.1 -8. ]
14,[14. -7.],7.0,[14. -7.]
15,[14. -7.],7.0,[14. -7.]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
18,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
19,[16.1 -9. ],9.0,[16.1 -9. ]
20,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
21,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
22,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
23,[15.1 -8. ],8.0,[15.1 -8. ]
24,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
25,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
26,[16.1 -9. ],9.0,[16.1 -9. ]
27,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
28,[11.5 -5. ],5.0,[11.5 -5. ]
29,[14. -7.],7.0,[14. -7.]
30,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
31,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
