,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[11.5 -5. ],5.0,[11.5 -5. ]
2,[15.1 -8. ],8.0,[15.1 -8. ]
3,[11.5 -5. ],5.0,[11.5 -5. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
6,[15.1 -8. ],8.0,[15.1 -8. ]
7,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
10,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
11,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
12,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
13,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
14,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
15,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
16,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
17,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
18,[16.1 -9. ],9.0,[15.1 -8. ]
19,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
20,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
21,[16.1 -9. ],9.0,[15.1 -8. ]
22,[16.1 -9. ],9.0,[16.1 -9. ]
23,[ 19.6 -13. ],13.0,[ 19.6 -13. ]
24,[ 20.3 -14. ],14.0,[ 20.3 -14. ]
25,[15.1 -8. ],8.0,[15.1 -8. ]
26,[ 22.4 -17. ],17.0,[ 22.4 -17. ]
27,[11.5 -5. ],5.0,[11.5 -5. ]
28,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
29,[14. -7.],7.0,[14. -7.]
30,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
31,[ 23.7 -19. ],19.0,[ 23.7 -19. ]
