,desired_return,horizon,eval_return
0,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
1,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
2,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
3,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
4,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
5,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
6,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
7,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
8,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
9,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
10,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
11,[14. -7.],7.0,[14. -7.]
12,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
13,[14. -7.],7.0,[14. -7.]
14,[11.5 -5. ],5.0,[11.5 -5. ]
15,[11.5 -5. ],5.0,[11.5 -5. ]
16,[11.5 -5. ],5.0,[11.5 -5. ]
17,[11.5 -5. ],5.0,[11.5 -5. ]
18,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
19,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
20,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
21,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
22,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
23,[15.1 -8. ],8.0,[15.1 -8. ]
24,[ 22.4 -17. ],17.0,[ 22.4 -18. ]
25,[ 8.2 -3. ],3.0,[ 8.2 -3. ]
26,[16.1 -9. ],9.0,[16.1 -9. ]
27,[ 23.7 -45. ],45.0,[ 23.7 -45. ]
28,[14. -7.],7.0,[14. -7.]
29,[ 20.3 -15. ],15.0,[ 19.6 -15. ]
30,[ 0.7 -1. ],1.0,[ 0.7 -1. ]
31,[11.5 -5. ],5.0,[11.5 -5. ]
